微博正文
#跟着国宝去旅行# “比起荣华富贵，我更怀念「相知无远近，万里尚为邻」的开元年间，想念喧闹繁华百业兴旺的长安。”今天我在@中国青年报 @酷我音乐 ，用声音演绎@陕西历史博物馆 的鎏金舞马衔杯纹银壶，带大家体验一把#国宝的奇妙之旅# @国宝的奇妙之旅 Dear-迪丽热巴的微博视频  
新鲜～ 听说这里是绿洲～新鲜～ 绿洲  [组图共4张] 原图 
这次@慢游全世界 出海的心情既紧张又兴奋，海风里都是自由和浪漫的味道～#迪丽热巴出海造型# #慢游全世界#  [组图共3张] 原图 
第一次进到卢浮宫，是来看秀～#时装周V日记##hello时装周##巴黎时装周#   [组图共4张] 原图 
#路易威登女装秀# 第一次来看路易威登的秀，被惊艳到了！到现在还在回忆～希望能够尽快买到秀上相中的帽子和包包 @路易威登  [组图共8张] 原图 
表白祖国，把love穿身上  [组图共2张] 原图 
#我爱你中国#锦绣河山千万里，官方粉丝十四亿，#我是中国fans#，我为祖国骄傲。快来加入，一起为祖国献礼！粉丝认证号：我是中国FANS  
#路易威登邂逅上海# 和@路易威登 Capucines 系列包款 一起邂逅这座繁华都市！ Dear-迪丽热巴的微博视频  
黑是文人画卷里的墨色，是女子梳妆描眉的黛色，也是我钟爱的颜色。我是中国色彩推荐人迪丽热巴，黑色旗袍最能凸显东方女子气质，搭配单边耳饰希望给大家不一样的感受。今晚19:30锁定央视财经频道@CCTV时尚大师  一起探讨百搭的黑色吧，期待今晚的大秀～#迪丽热巴单边耳坠##不潮不出街#  [组图共4张] 原图 
持续打call好多年，美女生日快乐🎂@杨幂 这张合照是我最喜欢的啦～  原图 
夏天悄悄过去啦～🍉🍉小朋友们也该去上学啦～#开学季##又是一年开学季#  [组图共4张] 原图 
#遇见天坛#感谢@遇见天坛 给我这个机会走进神乐署，学习古乐器，大家记得都去天坛看看神乐署震撼的中和韶乐表演哦～ Dear-迪丽热巴的微博视频  
#送一百位女孩回家# 大家好，我又坐过山车了，还坐了两次，不用排队的那种感谢@丁丁张 老师带我去游乐园玩，聊了很多过去，思考了些许未来。但最重要的还是坐了过山车～总之这是一段超开心的经历 《送一百位女孩回家第三季》迪丽热巴嗨唱土味神曲超洗脑 调侃自己桃花运差  
#微博十年##我和微博的那些事# 熬最晚的夜，刷最有趣的微博～祝微博十周年生日快乐～  原图 
当获得小小成就有了一些积累后，很多人都会期待拥有一个美好的新家。作为@居理新房 品牌代言人，希望每个人都能找到自己的理想新房。 Dear-迪丽热巴的微博视频  
#我要泡泡白#我的新宠“黑人密泡小苏打牙膏”上线啦！泡泡白一出，笑容bling爆全场！敢和我pk吗？@黑人牙膏官方微博 Dear-迪丽热巴的微博视频  
这个节日你们过就好了 不用管我  原图 
#忘不掉的柔顺发香#如果我藏起来了？你们能找到我吗？告诉你们个小秘密，只要跟着@飘柔Rejoice 香氛洗护系列带来的柔顺发香，一定能够第一时间找到我哦！飘柔Rejoice的秒拍视频  
推开反转门，穿上叛逆香气，可甜可酷，你爱的样子我都有。IN LOVE with #YSL反转巴黎#花溢香水 Dear-迪丽热巴的秒拍视频  
今天超哥的补习班就要开课了，一直都在默默的关注着，听说很多人看完很感动，听说很多人发自内心的笑了，听说很多人都哭了。今天就上映了，我要去看  原图 
#和爱豆一起读书# 强国一代，#榜样阅读# 我在@中国青年报  @酷我音乐  为大家阅读法国小说家儒勒·凡尔纳的《海底两万里》，让我们一起在文字中回归初心，在经典中找寻梦想，在最美的青春年华里爱上阅读。@榜样阅读中国青年报的秒拍视频  
#瓶盖挑战# 有些瓶盖，一旦错过就还在#极限挑战# Dear-迪丽热巴的秒拍视频  
@路易威登 经典中不断创新的LV记录成长的LV爱了爱了#路易威登成长轨迹#  [组图共9张] 原图 
